c,c_list_length,length_mismatches,non-monotonic,internal_zeros,last_exp_too_large,b_attempts,a_attempts,smaller_rejects,PF-slope
5,3,1,0,0,0,1,0,0,2
6,3,1,0,0,0,1,0,0,3
7,4,1,0,0,0,1,0,0,3
8,4,1,0,0,0,1,0,0,6
9,4,0,0,0,1,1,0,0,6
10,4,0,1,0,0,2,1,1,6
11,5,1,0,0,0,1,0,0,6
12,5,1,0,0,0,1,0,0,8
13,6,1,0,0,0,1,0,0,8
14,6,1,0,0,0,1,0,0,9
15,6,1,0,0,0,2,1,0,8
16,6,0,0,0,0,1,1,1,12
17,7,1,0,0,0,1,0,0,12
18,7,1,0,0,0,1,0,0,13
19,8,1,0,0,0,1,0,0,13
20,8,1,0,0,0,1,0,0,14
21,8,1,0,0,0,2,1,0,14
22,8,1,0,1,0,3,1,0,15
23,9,1,0,0,0,1,0,0,15
24,9,1,0,0,0,1,0,0,18
25,9,0,0,0,1,1,0,0,16
26,9,1,1,1,0,3,0,0,17
27,9,1,2,1,0,4,0,0,17
28,9,1,1,3,0,5,0,0,19
29,10,1,0,0,0,1,0,0,19
30,10,1,0,0,0,1,0,0,19
31,11,1,0,0,0,1,0,0,19
32,11,1,0,0,0,1,0,0,24
33,11,1,0,1,0,2,0,0,24
34,11,1,0,2,0,3,0,0,25
35,11,1,0,3,0,4,0,0,24
36,11,1,0,3,0,5,1,0,26
37,12,1,0,0,0,1,0,0,26
38,12,1,0,0,0,1,0,0,27
39,12,1,0,1,0,2,0,0,27
40,12,1,0,2,0,3,0,0,29
41,13,1,0,0,0,1,0,0,29
42,13,1,0,0,0,1,0,0,30
43,14,1,0,0,0,1,0,0,30
44,14,1,0,0,0,1,0,0,32
45,14,1,0,1,0,2,0,0,31
46,14,1,1,1,0,3,0,0,32
47,15,1,0,0,0,1,0,0,32
48,15,1,0,0,0,1,0,0,36
49,15,0,0,0,1,1,0,0,36
50,15,0,0,0,1,1,0,0,35
51,15,1,2,1,0,4,0,0,35
52,15,1,2,2,0,5,0,0,37
53,16,1,0,0,0,1,0,0,37
54,16,1,0,0,0,1,0,0,38
55,16,1,1,0,0,2,0,0,37
56,16,1,0,1,0,3,1,0,40
57,16,1,0,3,0,4,0,0,40
58,16,1,0,4,0,5,0,0,41
59,17,1,0,0,0,1,0,0,41
60,17,1,0,0,0,1,0,0,42
61,18,1,0,0,0,1,0,0,42
62,18,1,0,0,0,1,0,0,43
63,18,1,1,0,0,2,0,0,43
64,18,1,0,2,0,3,0,0,49
65,18,1,0,3,0,4,0,0,48
66,18,1,0,3,0,5,1,0,49
67,19,1,0,0,0,1,0,0,49
68,19,1,0,0,0,1,0,0,51
69,19,1,0,1,0,2,0,0,51
70,19,1,0,2,0,3,0,0,51
71,20,1,0,0,0,1,0,0,51
72,20,1,0,0,0,1,0,0,54
73,21,1,0,0,0,1,0,0,54
74,21,1,0,0,0,1,0,0,55
75,21,1,1,0,0,2,0,0,53
76,21,1,2,0,0,3,0,0,55
77,21,1,2,1,0,4,0,0,55
78,21,1,0,4,0,5,0,0,56
79,22,1,0,0,0,1,0,0,56
80,22,1,0,0,0,1,0,0,59
81,22,0,0,0,0,1,1,2,59
82,22,1,1,1,0,3,0,0,60
83,23,1,0,0,0,1,0,0,60
84,23,1,0,0,0,1,0,0,62
85,23,1,0,1,0,2,0,0,61
86,23,1,0,2,0,3,0,0,62
87,23,1,0,3,0,4,0,0,62
88,23,1,0,4,0,5,0,0,65
89,24,1,0,0,0,1,0,0,65
90,24,1,0,0,0,1,0,0,65
91,24,1,1,0,0,2,0,0,65
92,24,1,0,2,0,3,0,0,67
93,24,1,0,3,0,4,0,0,67
94,24,1,0,4,0,5,0,0,68
95,24,1,0,5,0,6,0,0,67
96,24,1,0,6,0,7,0,0,72
97,25,1,0,0,0,1,0,0,72
98,25,1,0,0,0,1,0,0,73
99,25,1,1,0,0,2,0,0,73
100,25,1,0,1,0,3,1,0,73
101,26,1,0,0,0,1,0,0,73
102,26,1,0,0,0,1,0,0,74
